exercise,difficulty_level,target_muscle_group,primary_equipment,posture,single_or_double_arm,continuous_or_alternating_arms,grip,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern,body_region,force_type,mechanics,laterality,primary_exercise_classification
Single Arm Kettlebell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Suitcase Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zercher Split Squat,Advanced,Quadriceps,Barbell,Split Squat,Double Arm,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Suspension Alternating Split Squat Jump,Intermediate,Quadriceps,Suspension Trainer,Split Squat,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Plyometric
Single Arm Dumbbell Suitcase Contralateral Split Squat,Novice,Quadriceps,Dumbbell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Split Squat,Novice,Quadriceps,Dumbbell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Dumbbell Front Rack Split Squat,Novice,Quadriceps,Dumbbell,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Split Squat,Novice,Quadriceps,Dumbbell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Split Squat,Novice,Quadriceps,Dumbbell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Dumbbell Overhead Split Squat,Intermediate,Quadriceps,Dumbbell,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Contralateral Split Squat,Intermediate,Quadriceps,Dumbbell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Split Squat,Intermediate,Quadriceps,Dumbbell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Dumbbell Goblet Split Squat,Novice,Quadriceps,Dumbbell,Split Squat,Double Arm,Continuous,Goblet,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Wall Ball Feet Elevated Russian Twist,Novice,Abdominals,Wall Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Wall Ball Russian Twist,Novice,Abdominals,Wall Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Bulgarian Bag Back Rack Split Squat,Novice,Quadriceps,Bulgarian Bag,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Order Split Squat,Novice,Quadriceps,Clubbell,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Order Split Squat,Novice,Quadriceps,Clubbell,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Clubbell Order Contralateral Split Squat,Novice,Quadriceps,Clubbell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Clubbell Order Ipsilateral Split Squat,Novice,Quadriceps,Clubbell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Macebell Order Split Squat,Novice,Quadriceps,Macebell,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Macebell Order Contralateral Split Squat,Novice,Quadriceps,Macebell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Macebell Order Ipsilateral Split Squat,Novice,Quadriceps,Macebell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Plate Overhead Split Squat,Intermediate,Quadriceps,Weight Plate,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Heavy Sandbag Bear Hug Split Squat,Intermediate,Quadriceps,Heavy Sandbag,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Other,Compound,Unilateral,Unsorted*
Heavy Sandbag Shoulder Contralateral Split Squat,Intermediate,Quadriceps,Heavy Sandbag,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Unsorted*
Heavy Sandbag Shoulder Ipsilateral Split Squat,Intermediate,Quadriceps,Heavy Sandbag,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Unsorted*
Sandbag Back Rack Split Squat,Novice,Quadriceps,Sandbag,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Split Squat,Novice,Quadriceps,Sandbag,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Tall Kneeling Arnold Press,Beginner,Shoulders,Dumbbell,Tall Kneeling,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Split Squat,Novice,Quadriceps,Landmine,Split Squat,Double Arm,Continuous,Goblet,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Landmine Front Rack Contralateral Split Squat,Novice,Quadriceps,Landmine,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Landmine Front Rack Ipsilateral Split Squat,Novice,Quadriceps,Landmine,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Landmine Suitcase Contralateral Split Squat,Novice,Quadriceps,Landmine,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Double Kettlebell Gunslinger,Intermediate,Back,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Full Body,Pull,Compound,Bilateral,Ballistics
Single Arm Kettlebell Front Rack Ipsilateral Split Squat,Novice,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Split Squat,Intermediate,Quadriceps,Kettlebell,Split Squat,Double Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Split Squat,Intermediate,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Split Squat,Intermediate,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Overhead Split Squat,Intermediate,Quadriceps,Kettlebell,Split Squat,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Split Squat,Intermediate,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Split Squat,Intermediate,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Split Squat,Advanced,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Split Squat,Advanced,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Suitcase Split Squat,Novice,Quadriceps,Kettlebell,Split Squat,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Split Squat,Novice,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Split Squat,Novice,Quadriceps,Kettlebell,Split Squat,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Kettlebell Goblet Split Squat,Novice,Quadriceps,Kettlebell,Split Squat,Double Arm,Continuous,Goblet,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Horn Grip March,Novice,Hip Flexors,Kettlebell,March,Double Arm,Continuous,Horn Grip,Alternating,No Elevation,Single Exercise,Unsorted*,Midsection,Other,Compound,Unilateral,Balance
Single Arm Dumbbell Front Raise,Beginner,Shoulders,Dumbbell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder Flexion,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Single Arm Dumbbell Cross Body Hammer Curl,Beginner,Biceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Suspension Hamstring Curl,Novice,Hamstrings,Suspension Trainer,Supine,No Arms,Continuous,No Grip,Continuous,Feet Elevated,Single Exercise,Knee Dominant,Lower Body,Pull,Isolation,Bilateral,Unsorted*
Suspension Single Leg Hamstring Curl,Intermediate,Hamstrings,Suspension Trainer,Supine,No Arms,Continuous,No Grip,Continuous,Foot Elevated,Single Exercise,Knee Dominant,Lower Body,Pull,Isolation,Unilateral,Bodybuilding
Superband Prone Hamstring Curl,Beginner,Hamstrings,Superband,Prone,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Prone Hamstring Curl,Beginner,Hamstrings,Cable,Prone,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Pull,Isolation,Bilateral,Bodybuilding
Superband Prone Bench Hamstring Curl,Novice,Hamstrings,Superband,Prone,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Bicep Curl,Beginner,Biceps,Dumbbell,Standing,Single Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Single Arm Dumbbell Hammer Curl,Beginner,Biceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Ring Dips,Advanced,Triceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Single Arm Push Up,Advanced,Chest,Bodyweight,Prone,Single Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Calisthenics
Bodyweight Aztec Push Up,Advanced,Chest,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Plyometric
Slider Barbell Front Rack Curtsy Lunge,Intermediate,Quadriceps,Sliders,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Front Rack Curtsy Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
